review,rating,support
"It is good but gets really addictive and I couldn't sleep because of it. It has great privacy so if you are a parent you don't need to worry about your child's privacy. You can post videos on private, your account can also be private so i really recommend this app just don't go on it too much.",5,1692
this is the platform of art...... because of this app many of the candidates r in good position.... I really love this app.... if you think this is the wasting of time then your concept is wrong... everything has negative and positive way but we have to choose the positive all this is optional if yo...Full Reviewthis is the platform of art...... because of this app many of the candidates r in good position.... I really love this app.... if you think this is the wasting of time then your concept is wrong... everything has negative and positive way but we have to choose the positive all this is optional if you want to choose positive you can choose positive if you do not want to positive and you will choose negative for this only you are the responsible no one else....,5,448
"The app is user friendly, you can also follow your favorites, to get new videos from them. I especially like Venus, the two-faced cat, Dancin' Dustin who is an inspiration to my Autistic teenage Son, and Cory McCormick's awesome jokes, that remind me, even in my busy life, I can still take a minute ...Full ReviewThe app is user friendly, you can also follow your favorites, to get new videos from them. I especially like Venus, the two-faced cat, Dancin' Dustin who is an inspiration to my Autistic teenage Son, and Cory McCormick's awesome jokes, that remind me, even in my busy life, I can still take a minute to laugh at something that's just frackin funny! The artists and gymnasts are absolutely incredible, too! You see clips from people all over the world; it really is amazing! It's addictive for sure!",5,786
worst experience ever I just used it for two and after no videos are available in app and it is saying that I'm not eligible to use the app. I'm 23 yrs old why I'm not eligible to use this app and I report a problem also they never resolve it. And still it is saying hot videos list is empty. why.......Full Reviewworst experience ever I just used it for two and after no videos are available in app and it is saying that I'm not eligible to use the app. I'm 23 yrs old why I'm not eligible to use this app and I report a problem also they never resolve it. And still it is saying hot videos list is empty. why.....,1,1340
I have a problem..I was scrolling down tik tok like usual and all of a sudden it takes me to the 'for you' page and I tried going to 'following' but it said that I had to log in/sign up but i already had for weeks now.I put in my personal information but it didnt log back in to my old account!What I...Full ReviewI have a problem..I was scrolling down tik tok like usual and all of a sudden it takes me to the 'for you' page and I tried going to 'following' but it said that I had to log in/sign up but i already had for weeks now.I put in my personal information but it didnt log back in to my old account!What I really want to know is how and why this happened!?!thank you for your patience and time!,4,801
"Fun app, but only giving 2 for many reasons. 1. Tiktok never gets back to its users and never actually looks at reports or issues. Ive seen folks lives get suspended for MONTHS simply because they boot a child who shouldn't even be on the app and the kid reports. They need to actually look at what p...Full ReviewFun app, but only giving 2 for many reasons. 1. Tiktok never gets back to its users and never actually looks at reports or issues. Ive seen folks lives get suspended for MONTHS simply because they boot a child who shouldn't even be on the app and the kid reports. They need to actually look at what people are complaining about and take action when uts needed. 2. The age needs to be raised. Yes, I know it use to be a kids app, but its not anymore. It needs to be 18+, no exceptions.",2,942
"This used to be my most favourite app, but now I've found out that your deleting accounts with less than 1k fans. JUST WHY?! It's seems like the only people you care about who are on your app are more famous people. Also, some people only want their family and friends following them. Your ratings wi...Full ReviewThis used to be my most favourite app, but now I've found out that your deleting accounts with less than 1k fans. JUST WHY?! It's seems like the only people you care about who are on your app are more famous people. Also, some people only want their family and friends following them. Your ratings will go down MASSIVELY when you start deleting accounts.",4,151
hi and this (????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ???????...Full Reviewhi and this (????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ????????? ?????????) app .......... .......... .......... .......... .......... ........... ........... ............ . was very good,5,465
"I've had an account for over a year now and had recently just uploaded some videos on there using audio already stored in TikTok and literally 2 hours later my entire account is gone, like it's been wiped clean. My videos are gone as well as all the pages I followed. I'm beyond upset because I actua...Full ReviewI've had an account for over a year now and had recently just uploaded some videos on there using audio already stored in TikTok and literally 2 hours later my entire account is gone, like it's been wiped clean. My videos are gone as well as all the pages I followed. I'm beyond upset because I actually liked TikTok but not to deal with any of this.",1,275
"I love this app!I hope it lasts for a long time.I also watch tiktok alot so I am getting used to things that are very hard to do like sometimes make a tiktok.Sometimes I would share my tiktok to my freinds and family.I like this app so much that I might die for it when it is gone forever!I love,love...Full ReviewI love this app!I hope it lasts for a long time.I also watch tiktok alot so I am getting used to things that are very hard to do like sometimes make a tiktok.Sometimes I would share my tiktok to my freinds and family.I like this app so much that I might die for it when it is gone forever!I love,love,love,love this app so,so,so,so much!!!Some people might not have tiktok but if they do after a while they will get used to it like me.",5,1128
"I do really like tiktok tho.. but what happened with me was not right tho.. my all previous Followers and following are all zero this is not good at all, this what i hated the most.. em happy that tiktok is back but still em disappointed what had happened with my tiktok account.. it could been hacke...Full ReviewI do really like tiktok tho.. but what happened with me was not right tho.. my all previous Followers and following are all zero this is not good at all, this what i hated the most.. em happy that tiktok is back but still em disappointed what had happened with my tiktok account.. it could been hacked i guess still em not sure about it but it's sounds like tho.. so far this is the reason my review for this app will be one ⭐.. em sorry no offense. thank you",1,607
"You guys need to get rid of the bots in your next update. It would also be GREAT if you guys would TELL us specifically WHY we are suspended from live or specifically WHY our post gets taken down. DO NOT rely on other creators to report specifics to you, REVIEW the content before you decide to remov...Full ReviewYou guys need to get rid of the bots in your next update. It would also be GREAT if you guys would TELL us specifically WHY we are suspended from live or specifically WHY our post gets taken down. DO NOT rely on other creators to report specifics to you, REVIEW the content before you decide to remove it.",3,140
"this app is not good for me all users have followers ans likes but in my videos no followers and no likes I was trying hardly but everything is west for me this app is only for those people who are already famous. some people are realy wiared, but they have followers, in my videos nothing wrong but ...Full Reviewthis app is not good for me all users have followers ans likes but in my videos no followers and no likes I was trying hardly but everything is west for me this app is only for those people who are already famous. some people are realy wiared, but they have followers, in my videos nothing wrong but tik tok did under review, and delete also. I hate this app",1,601
"The app is normally great, but I'm just recently having difficulty posting videos. I just posted 3 videos that I worked hard on and when I go to see it on either of my phones, the videos are black screens with the audio. I'm frustrated. 😔",3,1791
"it's been great! I'd love to see tabs on the notification section. That would help greatly! thanks! more folks on the for you page not just the same 6 people all the time. also get ride of the gifts! people are asking for money essentially, to do duets follow or react to their videos which unethical...Full Reviewit's been great! I'd love to see tabs on the notification section. That would help greatly! thanks! more folks on the for you page not just the same 6 people all the time. also get ride of the gifts! people are asking for money essentially, to do duets follow or react to their videos which unethical! make it to where you can see who is in your lives have a tab or something. name sounds better so when you search you can actually find it! that is all for now thank you though for a terrific app!",4,412
